root_x,root_y,root_z,lfemur_x,lfemur_y,lfemur_z,lfoot_x,lfoot_y,lfoot_z,rfemur_x,rfemur_y,rfemur_z,rfoot_x,rfoot_y,rfoot_z
0.555215,17.1131,-23.0715,1.544768818,7.942664529,-20.82636882,0.811453423,0.558059658,-22.9860864,-1.387564633,8.605151251,-19.08340993,-0.942829202,5.63597096,-27.29940326
0.558458,17.1345,-22.589,1.524041353,7.909864974,-20.64367319,0.794078574,0.577052452,-22.99117725,-1.386962135,8.785846797,-18.30174348,-0.909546822,5.401803457,-26.41341181
0.562942,17.1754,-22.1058,1.516112675,7.915901032,-20.47139022,0.77433335,0.598659172,-22.9649511,-1.378361949,8.981493267,-17.53965223,-0.884070484,5.123522544,-25.44298179
0.559856,17.2303,-21.6105,1.516995195,7.948920865,-20.30195751,0.764161935,0.641420954,-22.95389415,-1.355091034,9.171936195,-16.81188724,-0.86140675,4.846732194,-24.423003
0.546111,17.3034,-21.1075,1.513902915,8.004821364,-20.14348883,0.764845108,0.690883427,-22.94770271,-1.329073557,9.367496642,-16.11888067,-0.852231934,4.578492631,-23.36122245
0.532189,17.4043,-20.585,1.512006514,8.091339243,-19.97682646,0.773614006,0.752796114,-22.92905145,-1.289960196,9.571298884,-15.45701426,-0.857205818,4.342183105,-22.23874889
0.519717,17.5044,-20.0558,1.520642956,8.198307453,-19.80048019,0.782544496,0.817812904,-22.89694176,-1.253947757,9.767073319,-14.80230913,-0.839358025,4.082459831,-21.20810489
0.510805,17.597,-19.5255,1.535131544,8.308604839,-19.61172298,0.796065718,0.863747189,-22.84295514,-1.21516028,9.952678537,-14.1621632,-0.828094452,3.804663803,-20.18310932
0.50359,17.696,-18.9922,1.554161779,8.440847224,-19.40632679,0.816837651,0.913888485,-22.77139747,-1.18013606,10.12571473,-13.54620262,-0.835517429,3.559693532,-19.09036205
0.493678,17.7983,-18.4506,1.579944458,8.598274958,-19.19670319,0.848626509,0.983610718,-22.70634505,-1.150374536,10.28300499,-12.93999174,-0.863638224,3.336966882,-17.9605743
0.482603,17.8933,-17.9037,1.6085317,8.756954324,-18.97862574,0.897580905,1.033147371,-22.637368,-1.123859122,10.42049791,-12.35518638,-0.896531155,3.141694421,-16.80034445
0.474842,17.9837,-17.3539,1.626567475,8.919331752,-18.75504879,0.974517326,1.077765787,-22.55767309,-1.092151283,10.53488867,-11.800024,-0.915269088,2.953956379,-15.67287952
0.470416,18.0611,-16.8066,1.648939281,9.085140734,-18.52592869,1.098191718,1.126685579,-22.47249136,-1.072044608,10.62233031,-11.2592376,-0.937337467,2.777294017,-14.55162899
