root_x,root_y,root_z,lfemur_x,lfemur_y,lfemur_z,lfoot_x,lfoot_y,lfoot_z,rfemur_x,rfemur_y,rfemur_z,rfoot_x,rfoot_y,rfoot_z
0.0153558,18.0056,-30.6689,1.140028843,9.146268363,-26.92787169,0.602972311,0.783562922,-25.47040275,-1.124280454,8.958108087,-31.49618883,-1.443145927,6.804311859,-40.63438963
0.0242465,17.8811,-30.1748,1.155567715,9.023415479,-26.46540624,0.559664116,0.717492903,-25.49905511,-1.180894412,8.769015907,-30.64669806,-1.447256139,6.982917192,-39.82948418
0.0522549,17.7574,-29.6766,1.176074947,8.90400842,-26.00328097,0.514644376,0.664441201,-25.44208974,-1.241694588,8.593730331,-29.78783842,-1.442754609,7.12399343,-38.98347523
0.0729292,17.6372,-29.1915,1.179431181,8.799033423,-25.51888473,0.485226738,0.635434598,-25.28708949,-1.313169405,8.439076121,-28.9217605,-1.423436301,7.217495258,-38.1130404
0.077503,17.5221,-28.7299,1.172207679,8.66881153,-25.14435386,0.492099289,0.600509011,-25.28069047,-1.396928117,8.298148137,-28.05520833,-1.408050845,7.269761211,-37.24006795
0.0802942,17.4258,-28.2606,1.170914482,8.565007673,-24.78930008,0.488941025,0.585513452,-25.24086056,-1.494061152,8.176449082,-27.17519426,-1.391563593,7.274255931,-36.34333516
0.0888427,17.346,-27.7772,1.169871554,8.476338677,-24.46222848,0.492089571,0.594217121,-25.22106607,-1.603604774,8.082394901,-26.28736505,-1.371922567,7.227093301,-35.43180313
0.0942417,17.2677,-27.3112,1.161683501,8.373177552,-24.18913261,0.503245627,0.588241299,-25.22201434,-1.715016785,8.031249752,-25.3926607,-1.335651011,7.14213823,-34.53127364
0.106478,17.2056,-26.8461,1.146075103,8.25739882,-23.93160895,0.491487021,0.561620719,-25.22041763,-1.797844336,8.053770216,-24.49222508,-1.344506231,6.966163335,-33.54578466
0.122948,17.1661,-26.37,1.129975118,8.144596607,-23.68275175,0.470778969,0.535171182,-25.21712374,-1.847390869,8.138803838,-23.59783933,-1.352883593,6.766699305,-32.55611396
